phase,L1,L2,L3
521.5210420841683572,2.5016051529151886565e+40,1.3577856706126089917e+39,2.5419796064306356756e+40
523.5230460921843587,2.446275997554552195e+40,1.3283983720323748276e+39,2.485290378070600722e+40
525.52505010020047393,2.3921712949473225227e+40,1.2996842783745332883e+39,2.429867948453067141e+40
527.52705410821647547,2.3392643083922493797e+40,1.271626889567741172e+39,2.375684325133005999e+40
529.529058116232477,2.2875288557582138334e+40,1.24421013898684883716e+39,2.322712105636099902e+40
531.53106212424847854,2.2369393091604899848e+40,1.21741838652492119274e+39,2.2709244765343947085e+40
533.53306613226459376,2.1874705783327176533e+40,1.1912364030463540347e+39,2.2202951956808807907e+40
535.5350701402805953,2.139098101115680254e+40,1.1656493590471707488e+39,2.1707985818273352317e+40
537.53707414829659683,2.091797838006745769e+40,1.14064281578409066854e+39,2.122409508444720954e+40
539.53907815631271205,2.0455462534253809684e+40,1.1162027094854260113e+39,2.0751033838395634555e+40
541.5410821643287136,2.0003203149466946612e+40,1.0923153455537545107e+39,2.02885614985131397e+40
543.5430861723447151,1.9560974779799080988e+40,1.06896738513969561624e+39,1.9836442655227731778e+40
545.54509018036071666,1.9128556770817096473e+40,1.04614583555182746944e+39,1.9394446976460387829e+40
547.5470941883768319,1.8705733205363454584e+40,1.02383804263793166955e+39,1.8962349146932276513e+40
549.5490981963928334,1.8292292734458201846e+40,1.0020316772262114172e+39,1.8539928688976449182e+40
551.55110220440883495,1.7888028566596791986e+40,9.8071473026418404795e+38,1.8126969947010326837e+40
553.5531062124248365,1.7492738326991747639e+40,9.598755011978805439e+38,1.7723261937964996375e+40
555.5551102204409517,1.7106223978682487896e+40,9.395025898513174332e+38,1.7328598265596011612e+40
557.55711422845695324,1.6728291769568199446e+40,9.195848898635846961e+38,1.6942777061713201562e+40
559.5591182364729548,1.635875208001546242e+40,9.0011157702649066246e+38,1.656560082507994258e+40
561.5611222444889563,1.599741941023739299e+40,8.810721052002228589e+38,1.6196876404377179845e+40
563.56312625250507153,1.5644112251434503704e+40,8.624561962333985817e+38,1.5836414861626076569e+40
565.56513026052107307,1.5298653014317307994e+40,8.4425383307880509575e+38,1.5484031394842382938e+40
567.5671342685370746,1.4960867978114611837e+40,8.264552541240715182e+38,1.5139545281760810286e+40
569.5691382765531898,1.4630587153525104126e+40,8.090509431441765075e+38,1.480277973530589389e+40
571.57114228456919136,1.4307644268892905528e+40,7.9203162586330047914e+38,1.4473561885803349727e+40
573.5731462925851929,1.3991876652584137407e+40,7.753882611932922431e+38,1.4151722656602156125e+40
575.57515030060119443,1.368312516858387699e+40,7.5911203539098420735e+38,1.3837096694522989534e+40
577.57715430861730965,1.3381234167699156843e+40,7.431943571469999239e+38,1.3529522316448620366e+40
579.5791583166333112,1.3086051364728628486e+40,7.27626848916969948e+38,1.3228841379915009478e+40
581.5811623246493127,1.2797427823924768291e+40,7.124013440210028532e+38,1.293489926513601605e+40
583.58316633266531426,1.2515217851953410133e+40,6.975098790129584284e+38,1.2647544762002586738e+40
585.5851703406814295,1.2239278940017649765e+40,6.829446887177920418e+38,1.2366630007748120637e+40
587.587174348697431,1.1969471717589705826e+40,6.686982019644007592e+38,1.2092010436633156634e+40
589.58917835671343255,1.1705659842481259867e+40,6.5476303409536580375e+38,1.1823544664270353564e+40
591.59118236472954777,1.1447709986145529416e+40,6.4113198451700132375e+38,1.1561094469884530827e+40
