# JD m dm uJy duJy F err chi/N RA Dec x y maj min phi apfit mag5sig Sky Obs
2459837.087292 15.722 0.014 1867 25 o 0 3.73 8.69039 -8.38667 2388.31 3503.24 2.56 2.04 35.7 -0.428 18.78 19.3 02a59836o0596o
2459837.498423 15.734 0.015 1847 28 o 0 2.22 8.69039 -8.38667 4260.68 7119.38 2.27 2.02 -52.7 -0.404 18.83 19.32 03a59837o0616o
2459837.503897 15.755 0.017 1812 30 o 0 1.74 8.69039 -8.38667 4276.55 7160.05 2.3 2.0 -47.1 -0.397 18.77 19.22 03a59837o0628o
2459837.50705 15.742 0.018 1834 34 o 0 1.43 8.69039 -8.38667 4218.54 7081.39 2.29 1.97 -49.3 -0.4 18.61 19.04 03a59837o0635o
2459837.517478 15.801 0.017 1736 29 o 0 2.37 8.69039 -8.38667 4191.85 7197.98 2.29 2.02 -51.2 -0.398 18.69 19.17 03a59837o0658o
2459838.978215 15.788 0.012 1758 22 o 0 2.42 8.69039 -8.38667 1453.86 5044.04 2.1 2.03 -46.4 -0.462 19.48 20.34 01a59838o0572o
2459838.981015 15.776 0.013 1776 23 o 0 2.1 8.69039 -8.38667 1474.83 5083.47 2.19 2.11 -50.6 -0.458 19.43 20.33 01a59838o0578o
2459838.986436 15.79 0.012 1754 20 o 0 2.18 8.69039 -8.38667 1416.43 5005.94 2.16 2.08 -49.3 -0.451 19.44 20.32 01a59838o0589o
2459839.021718 15.8 0.013 1738 22 o 0 1.38 8.69039 -8.38667 1405.19 5124.81 2.22 2.16 -59.2 -0.443 19.38 20.25 01a59838o0664o
2459839.734339 15.551 0.178 2185 388 o 0 1.48 8.69039 -8.38667 7962.39 1208.63 3.27 2.82 -22.0 -0.378 15.68 17.16 04a59839o0565o
