###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59812.547760  15.371  0.010  2580   25 o  0   2.81   8.69039  -8.38667  4464.66  7308.98 2.77 2.30  32.6 -0.400 19.35 20.77 02a59812o0690o
59812.583052  15.368  0.009  2587   23 o  0   3.40   8.69039  -8.38667  4521.74  7393.09 2.95 2.44  33.6 -0.399 19.27 20.70 02a59812o0766o
59812.586304  15.381  0.009  2556   24 o  0   3.91   8.69039  -8.38667  4547.52  7281.60 2.87 2.30  34.9 -0.395 19.37 20.71 02a59812o0773o
59813.048213  15.383  0.009  2551   24 o  0  10.37   8.69039  -8.38667  8187.86  8970.20 2.53 2.05 -45.2 -0.416 19.57 20.87 03a59813o0637o
59813.051370  15.370  0.009  2582   24 o  0   9.99   8.69039  -8.38667  8204.31  9010.07 2.54 2.05 -44.0 -0.415 19.55 20.84 03a59813o0644o
59813.084325  15.364  0.009  2596   24 o  0   4.77   8.69039  -8.38667  8135.85  8936.04 2.47 2.08 -42.8 -0.416 19.54 20.87 03a59813o0715o
59813.089788  15.397  0.011  2519   27 o  0   7.13   8.69039  -8.38667  8109.88  9053.33 3.26 2.53 -44.7 -0.402 19.32 20.87 03a59813o0727o
59814.511432  15.483  0.012  2326   27 o  0   1.55   8.69039  -8.38667  8965.22  9542.75 3.90 3.39  39.7 -0.361 19.09 20.68 01a59814o0629o
59814.513252  15.479  0.012  2336   28 o  0   1.48   8.69039  -8.38667  8943.52  9503.06 3.56 3.12  36.4 -0.386 19.16 20.67 01a59814o0633o
59814.518783  15.506  0.012  2278   28 o  0   1.24   8.69039  -8.38667  9003.83  9577.90 3.80 3.33  37.8 -0.369 19.08 20.66 01a59814o0645o
59814.554477  15.478  0.011  2337   26 o  0   1.93   8.69039  -8.38667  9024.02  9451.75 3.55 3.04  37.3 -0.388 19.18 20.69 01a59814o0720o
59818.494723  15.593  0.011  2102   24 o  0   1.54   8.69039  -8.38667  4358.77  5443.99 2.94 2.75  27.7 -0.432 19.34 20.82 01a59818o0553o
59818.498877  15.595  0.011  2100   22 o  0   2.30   8.69039  -8.38667  4339.62  5405.35 2.90 2.77  24.9 -0.436 19.34 20.83 01a59818o0562o
